Date,Year,Month,Quarter,Day_of_week,Open_USDAUD=X,High_USDAUD=X,Low_USDAUD=X,Close_USDAUD=X,Volume_USDAUD=X,GDP_Growth_Percentage_USA,GDP_Growth_Percentage_AUS
2010-01-01,2010,1,1,Friday,1.1131999492645264,1.113800048828125,1.1130000352859497,1.1130000352859497,0.0,0.484500951,0.436717241
2010-01-02,2010,1,1,Saturday,1.1131999492645264,1.113800048828125,1.1130000352859497,1.1130000352859497,0.0,0.484500951,0.436717241
2010-01-03,2010,1,1,Sunday,1.1131999492645264,1.113800048828125,1.1130000352859497,1.1130000352859497,0.0,0.484500951,0.436717241
2010-01-04,2010,1,1,Monday,1.114300012588501,1.118299961090088,1.0942000150680542,1.095900058746338,0.0,0.484500951,0.436717241
2010-01-05,2010,1,1,Tuesday,1.0954999923706057,1.0994999408721924,1.0901000499725342,1.0966999530792236,0.0,0.484500951,0.436717241
2010-01-06,2010,1,1,Wednesday,1.0966999530792236,1.098399996757507,1.0846999883651731,1.086400032043457,0.0,0.484500951,0.436717241
2010-01-07,2010,1,1,Thursday,1.0865999460220337,1.0911999940872192,1.079699993133545,1.0895999670028689,0.0,0.484500951,0.436717241
2010-01-08,2010,1,1,Friday,1.0893000364303589,1.0952999591827393,1.080600023269653,1.0809999704360962,0.0,0.484500951,0.436717241
2010-01-09,2010,1,1,Saturday,1.0893000364303589,1.0952999591827393,1.080600023269653,1.0809999704360962,0.0,0.484500951,0.436717241
2010-01-10,2010,1,1,Sunday,1.0893000364303589,1.0952999591827393,1.080600023269653,1.0809999704360962,0.0,0.484500951,0.436717241
2010-01-11,2010,1,1,Monday,1.0744999647140503,1.0769000053405762,1.0722999572753906,1.075600028038025,0.0,0.484500951,0.436717241
2010-01-12,2010,1,1,Tuesday,1.076200008392334,1.0902999639511108,1.0743999481201172,1.086400032043457,0.0,0.484500951,0.436717241
2010-01-13,2010,1,1,Wednesday,1.0860999822616575,1.0879000425338743,1.0789999961853027,1.0820000171661377,0.0,0.484500951,0.436717241
2010-01-14,2010,1,1,Thursday,1.0817999839782717,1.0819000005722046,1.0720000267028809,1.073699951171875,0.0,0.484500951,0.436717241
2010-01-15,2010,1,1,Friday,1.0738999843597412,1.0848000049591064,1.0736000537872314,1.083799958229065,0.0,0.484500951,0.436717241
2010-01-16,2010,1,1,Saturday,1.0738999843597412,1.0848000049591064,1.0736000537872314,1.083799958229065,0.0,0.484500951,0.436717241
2010-01-17,2010,1,1,Sunday,1.0738999843597412,1.0848000049591064,1.0736000537872314,1.083799958229065,0.0,0.484500951,0.436717241
2010-01-18,2010,1,1,Monday,1.0842000246047974,1.0893000364303589,1.0777000188827517,1.0782999992370603,0.0,0.484500951,0.436717241
2010-01-19,2010,1,1,Tuesday,1.0786999464035034,1.0893000364303589,1.0780999660491943,1.083899974822998,0.0,0.484500951,0.436717241
2010-01-20,2010,1,1,Wednesday,1.083899974822998,1.1018999814987185,1.0822999477386477,1.097100019454956,0.0,0.484500951,0.436717241
2010-01-21,2010,1,1,Thursday,1.097100019454956,1.1115000247955322,1.0931999683380127,1.1054999828338623,0.0,0.484500951,0.436717241
2010-01-22,2010,1,1,Friday,1.1059000492095947,1.1125999689102173,1.0996999740600586,1.1095999479293823,0.0,0.484500951,0.436717241
2010-01-23,2010,1,1,Saturday,1.1059000492095947,1.1125999689102173,1.0996999740600586,1.1095999479293823,0.0,0.484500951,0.436717241
2010-01-24,2010,1,1,Sunday,1.1059000492095947,1.1125999689102173,1.0996999740600586,1.1095999479293823,0.0,0.484500951,0.436717241
2010-01-25,2010,1,1,Monday,1.1062999963760376,1.108299970626831,1.0996999740600586,1.1050000190734863,0.0,0.484500951,0.436717241
2010-01-26,2010,1,1,Tuesday,1.1051000356674194,1.118299961090088,1.10099995136261,1.1109000444412231,0.0,0.484500951,0.436717241
2010-01-27,2010,1,1,Wednesday,1.1114000082015991,1.121500015258789,1.105299949645996,1.1157000064849854,0.0,0.484500951,0.436717241
2010-01-28,2010,1,1,Thursday,1.1162999868392944,1.121500015258789,1.1052000522613523,1.1190999746322632,0.0,0.484500951,0.436717241
2010-01-29,2010,1,1,Friday,1.1188000440597534,1.131600022315979,1.116000056266785,1.1308000087738037,0.0,0.484500951,0.436717241
2010-01-30,2010,1,1,Saturday,1.1188000440597534,1.131600022315979,1.116000056266785,1.1308000087738037,0.0,0.484500951,0.436717241
2010-01-31,2010,1,1,Sunday,1.1188000440597534,1.131600022315979,1.116000056266785,1.1308000087738037,0.0,0.484500951,0.436717241
2010-02-01,2010,2,1,Monday,1.1289000511169434,1.1374000310897827,1.1203999519348145,1.1210999488830566,0.0,0.484500951,0.436717241
2010-02-02,2010,2,1,Tuesday,1.1216000318527222,1.1385999917984009,1.120100021362305,1.1269999742507937,0.0,0.484500951,0.436717241
2010-02-03,2010,2,1,Wednesday,1.1268999576568604,1.1353000402450562,1.1216000318527222,1.1334999799728394,0.0,0.484500951,0.436717241
2010-02-04,2010,2,1,Thursday,1.1334999799728394,1.159000039100647,1.1331000328063965,1.1507999897003174,0.0,0.484500951,0.436717241
2010-02-05,2010,2,1,Friday,1.1513999700546265,1.1649999618530271,1.1469999551773071,1.1512999534606934,0.0,0.484500951,0.436717241
2010-02-06,2010,2,1,Saturday,1.1513999700546265,1.1649999618530271,1.1469999551773071,1.1512999534606934,0.0,0.484500951,0.436717241
2010-02-07,2010,2,1,Sunday,1.1513999700546265,1.1649999618530271,1.1469999551773071,1.1512999534606934,0.0,0.484500951,0.436717241
2010-02-08,2010,2,1,Monday,1.1548000574111938,1.1604000329971311,1.1482000350952148,1.1581000089645386,0.0,0.484500951,0.436717241
2010-02-09,2010,2,1,Tuesday,1.1578999757766724,1.1579999923706057,1.1367000341415403,1.1396000385284424,0.0,0.484500951,0.436717241
2010-02-10,2010,2,1,Wednesday,1.139799952507019,1.1477999687194824,1.1373000144958496,1.1404999494552612,0.0,0.484500951,0.436717241
2010-02-11,2010,2,1,Thursday,1.139899969100952,1.1404999494552612,1.1210999488830566,1.1232999563217163,0.0,0.484500951,0.436717241
2010-02-12,2010,2,1,Friday,1.1230000257492063,1.1376999616622925,1.1217999458312988,1.124500036239624,0.0,0.484500951,0.436717241
2010-02-13,2010,2,1,Saturday,1.1230000257492063,1.1376999616622925,1.1217999458312988,1.124500036239624,0.0,0.484500951,0.436717241
2010-02-14,2010,2,1,Sunday,1.1230000257492063,1.1376999616622925,1.1217999458312988,1.124500036239624,0.0,0.484500951,0.436717241
2010-02-15,2010,2,1,Monday,1.1259000301361084,1.1296000480651855,1.1223000288009644,1.124500036239624,0.0,0.484500951,0.436717241
2010-02-16,2010,2,1,Tuesday,1.125100016593933,1.126099944114685,1.107800006866455,1.1095000505447388,0.0,0.484500951,0.436717241
2010-02-17,2010,2,1,Wednesday,1.1093000173568726,1.11489999294281,1.1062999963760376,1.1126999855041504,0.0,0.484500951,0.436717241
2010-02-18,2010,2,1,Thursday,1.1124000549316406,1.124500036239624,1.107800006866455,1.1239999532699585,0.0,0.484500951,0.436717241
2010-02-19,2010,2,1,Friday,1.1236000061035156,1.126099944114685,1.1110999584197998,1.1110999584197998,0.0,0.484500951,0.436717241
2010-02-20,2010,2,1,Saturday,1.1236000061035156,1.126099944114685,1.1110999584197998,1.1110999584197998,0.0,0.484500951,0.436717241
2010-02-21,2010,2,1,Sunday,1.1236000061035156,1.126099944114685,1.1110999584197998,1.1110999584197998,0.0,0.484500951,0.436717241
2010-02-22,2010,2,1,Monday,1.110100030899048,1.1140999794006348,1.1079000234603882,1.1109000444412231,0.0,0.484500951,0.436717241
2010-02-23,2010,2,1,Tuesday,1.1102999448776243,1.125599980354309,1.1022000312805176,1.120100021362305,0.0,0.484500951,0.436717241
2010-02-24,2010,2,1,Wednesday,1.1197999715805054,1.1287000179290771,1.1167999505996704,1.1181000471115112,0.0,0.484500951,0.436717241
2010-02-25,2010,2,1,Thursday,1.117400050163269,1.135800004005432,1.1171000003814695,1.128000020980835,0.0,0.484500951,0.436717241
2010-02-26,2010,2,1,Friday,1.127500057220459,1.127500057220459,1.113800048828125,1.116199970245361,0.0,0.484500951,0.436717241
2010-02-27,2010,2,1,Saturday,1.127500057220459,1.127500057220459,1.113800048828125,1.116199970245361,0.0,0.484500951,0.436717241
2010-02-28,2010,2,1,Sunday,1.127500057220459,1.127500057220459,1.113800048828125,1.116199970245361,0.0,0.484500951,0.436717241
2010-03-01,2010,3,1,Monday,1.1123000383377075,1.1187000274658203,1.1089999675750732,1.1104999780654907,0.0,0.484500951,0.436717241
2010-03-02,2010,3,1,Tuesday,1.1109000444412231,1.1151000261306765,1.1038000583648682,1.1050000190734863,0.0,0.484500951,0.436717241
2010-03-03,2010,3,1,Wednesday,1.1053999662399292,1.1100000143051147,1.1007000207901,1.104699969291687,0.0,0.484500951,0.436717241
2010-03-04,2010,3,1,Thursday,1.1045000553131104,1.1133999824523926,1.1045000553131104,1.1114000082015991,0.0,0.484500951,0.436717241
2010-03-05,2010,3,1,Friday,1.111299991607666,1.111600041389465,1.0996999740600586,1.1014000177383425,0.0,0.484500951,0.436717241
2010-03-06,2010,3,1,Saturday,1.111299991607666,1.111600041389465,1.0996999740600586,1.1014000177383425,0.0,0.484500951,0.436717241
2010-03-07,2010,3,1,Sunday,1.111299991607666,1.111600041389465,1.0996999740600586,1.1014000177383425,0.0,0.484500951,0.436717241
2010-03-08,2010,3,1,Monday,1.0987000465393066,1.1016000509262085,1.0947999954223633,1.1009000539779663,0.0,0.484500951,0.436717241
2010-03-09,2010,3,1,Tuesday,1.100600004196167,1.1039999723434448,1.0911999940872192,1.0923999547958374,0.0,0.484500951,0.436717241
2010-03-10,2010,3,1,Wednesday,1.0922000408172607,1.0954999923706057,1.0878000259399414,1.0942000150680542,0.0,0.484500951,0.436717241
2010-03-11,2010,3,1,Thursday,1.094099998474121,1.097000002861023,1.090499997138977,1.0922000408172607,0.0,0.484500951,0.436717241
2010-03-12,2010,3,1,Friday,1.0920000076293943,1.0938999652862549,1.0875999927520752,1.093000054359436,0.0,0.484500951,0.436717241
2010-03-13,2010,3,1,Saturday,1.0920000076293943,1.0938999652862549,1.0875999927520752,1.093000054359436,0.0,0.484500951,0.436717241
2010-03-14,2010,3,1,Sunday,1.0920000076293943,1.0938999652862549,1.0875999927520752,1.093000054359436,0.0,0.484500951,0.436717241
2010-03-15,2010,3,1,Monday,1.0896999835968018,1.0988999605178833,1.0895999670028689,1.094499945640564,0.0,0.484500951,0.436717241
2010-03-16,2010,3,1,Tuesday,1.0947999954223633,1.0961999893188477,1.0855000019073486,1.0880999565124512,0.0,0.484500951,0.436717241
2010-03-17,2010,3,1,Wednesday,1.0880999565124512,1.0896999835968018,1.080899953842163,1.082800030708313,0.0,0.484500951,0.436717241
2010-03-18,2010,3,1,Thursday,1.0830999612808228,1.089100003242493,1.0825999975204468,1.0855000019073486,0.0,0.484500951,0.436717241
2010-03-19,2010,3,1,Friday,1.0855000019073486,1.0951000452041626,1.0839999914169312,1.0915000438690186,0.0,0.484500951,0.436717241
2010-03-20,2010,3,1,Saturday,1.0855000019073486,1.0951000452041626,1.0839999914169312,1.0915000438690186,0.0,0.484500951,0.436717241
2010-03-21,2010,3,1,Sunday,1.0855000019073486,1.0951000452041626,1.0839999914169312,1.0915000438690186,0.0,0.484500951,0.436717241
2010-03-22,2010,3,1,Monday,1.0937999486923218,1.100200057029724,1.0884000062942505,1.0887000560760498,0.0,0.484500951,0.436717241
2010-03-23,2010,3,1,Tuesday,1.0884000062942505,1.094099998474121,1.087299942970276,1.089400053024292,0.0,0.484500951,0.436717241
2010-03-24,2010,3,1,Wednesday,1.089100003242493,1.1028000116348269,1.0884000062942505,1.09660005569458,0.0,0.484500951,0.436717241
2010-03-25,2010,3,1,Thursday,1.0966999530792236,1.1030999422073364,1.094099998474121,1.100600004196167,0.0,0.484500951,0.436717241
